('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784328 function calls (759929 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      356    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      352    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      345    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      336    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      325    0.001    0.000    0.002    0.000 css_parser.py:1094(selector_iter)
      324    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      316    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      316    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      312    0.001    0.000    0.078    0.000 __init__.py:330(_compile)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      310    0.000    0.000    0.078    0.000 __init__.py:287(compile)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      307    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      306    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      306    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      305    0.000    0.000    0.000    0.000 socket.py:744(readable)
      303    0.001    0.000    1.009    0.003 socket.py:706(readinto)
      303    1.006    0.003    1.006    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      303    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      303    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      303    0.000    0.000    1.006    0.003 ssl.py:1129(read)
      303    0.001    0.000    1.007    0.003 ssl.py:1289(recv_into)
      299    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      287    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
      280    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      280    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      273    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      269    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
      268    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      264    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      264    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      264    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      258    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      255    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
      253    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      245    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      228    0.024    0.000    0.172    0.001 {method 'read' of '_io.BufferedReader' objects}
    224/4    0.001    0.000    0.228    0.057 <frozen importlib._bootstrap>:1349(_find_and_load)
      223    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      223    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
    223/4    0.000    0.000    0.228    0.057 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      222    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      221    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      221    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      221    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
  219/180    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
