('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         783964 function calls (759609 primitive calls) in 1.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      293    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1605    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      507    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      961    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
  197/193    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      336    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      412    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      195    0.000    0.000    0.030    0.000 _compiler.py:576(_code)
    169/4    0.000    0.000    0.204    0.051 <frozen importlib._bootstrap_external>:1020(exec_module)
     1468    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.001    0.000 typing.py:2994(__new__)
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      130    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
  219/180    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      877    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       38    0.000    0.000    0.135    0.004 response.py:1151(_handle_chunk)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      877    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
  709/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       66    0.000    0.000    0.942    0.014 {method 'readline' of '_io.BufferedReader' objects}
      221    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      293    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      585    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
      127    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
       56    0.000    0.000    0.002    0.000 typing.py:753(Union)
      713    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      280    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
