Error: URL not found or could not fetch data for AAPL
         468058 function calls (444107 primitive calls) in 0.778 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  212/149    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
        2    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
        2    0.000    0.000    0.001    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
        1    0.000    0.000    0.043    0.043 dammit.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _urlparse.py:1(<module>)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        6    0.000    0.000    0.000    0.000 selector_events.py:289(_remove_reader)
       99    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
      932    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        8    0.000    0.000    0.000    0.000 locks.py:182(set)
      191    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 selector_events.py:769(__init__)
      226    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      264    0.000    0.000    0.074    0.000 __init__.py:287(compile)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      249    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       92    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
       37    0.000    0.000    0.000    0.000 _impl.py:25(current_async_library)
      351    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
        6    0.000    0.000    0.002    0.000 _models.py:982(aiter_bytes)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       89    0.000    0.000    0.000    0.000 _models.py:166(encoding)
        3    0.000    0.000    0.001    0.000 typing.py:2994(__new__)
       21    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
       11    0.000    0.000    0.000    0.000 locks.py:200(wait)
       27    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
      454    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      113    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      394    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      438    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 _models.py:1270(info)
      270    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
        2    0.000    0.000    0.000    0.000 _models.py:231(multi_items)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.000    0.000 {method 'join' of '_thread._ThreadHandle' objects}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        3    0.000    0.000    0.000    0.000 _models.py:53(enforce_headers)
