('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784229 function calls (759850 primitive calls) in 6.515 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      305    0.000    0.000    0.994    0.003 ssl.py:1129(read)
      805    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
    52/14    0.000    0.000    0.008    0.001 css_parser.py:911(parse_selectors)
     1369    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
    467/8    0.000    0.000    0.226    0.028 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    197/4    0.000    0.000    0.230    0.058 <frozen importlib._bootstrap>:911(_load_unlocked)
      799    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
       10    0.000    0.000    0.002    0.000 enum.py:894(_convert_)
     2742    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
        2    0.000    0.000    0.004    0.002 parser.py:56(parsestr)
      195    0.000    0.000    0.046    0.000 _parser.py:970(parse)
     1011    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      169    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      121    0.000    0.000    0.002    0.000 typing.py:1423(__init__)
       22    0.000    0.000    0.516    0.023 __init__.py:1(<module>)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1541    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      929    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
       77    0.000    0.000    0.002    0.000 css_parser.py:462(parse_attribute_selector)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     2566    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
        7    0.000    0.000    0.003    0.000 feedparser.py:218(_parsegen)
     2599    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1605    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      169    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
     1100    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      305    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1007    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      876    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      193    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      507    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      338    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
  197/193    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      961    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       40    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:979(update)
      336    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
    169/4    0.000    0.000    0.230    0.058 <frozen importlib._bootstrap_external>:1020(exec_module)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
